t_s,VSYS_V,VDISP_V,I_discharge_A
5.082607e+00,3.799190e+00,3.789203e+00,1.012068e-02
5.101607e+00,3.799209e+00,3.789251e+00,9.887502e-03
5.120607e+00,3.799195e+00,3.789211e+00,1.005987e-02
5.139607e+00,3.799205e+00,3.789245e+00,9.932721e-03
5.158607e+00,3.799198e+00,3.789216e+00,1.002626e-02
5.177607e+00,3.799203e+00,3.789241e+00,9.957687e-03
5.196607e+00,3.799199e+00,3.789220e+00,1.000774e-02
5.215607e+00,3.799202e+00,3.789238e+00,9.971421e-03
5.234607e+00,3.799200e+00,3.789222e+00,9.997569e-03
5.253607e+00,3.799202e+00,3.789236e+00,9.978934e-03
5.272607e+00,3.799201e+00,3.789223e+00,9.992030e-03
5.291607e+00,3.799201e+00,3.789235e+00,9.983006e-03
5.310607e+00,3.799201e+00,3.789224e+00,9.989047e-03
5.329607e+00,3.799201e+00,3.789234e+00,9.985181e-03
5.348607e+00,3.799201e+00,3.789225e+00,9.987471e-03
5.367607e+00,3.799201e+00,3.789233e+00,9.986314e-03
5.386607e+00,3.799201e+00,3.789226e+00,9.986666e-03
5.405607e+00,3.799201e+00,3.789233e+00,9.986877e-03
5.424607e+00,3.799201e+00,3.789226e+00,9.986279e-03
5.443607e+00,3.799201e+00,3.789232e+00,9.987134e-03
5.462607e+00,3.799201e+00,3.789227e+00,9.986117e-03
5.481607e+00,3.799201e+00,3.789232e+00,9.987228e-03
5.500607e+00,3.799201e+00,3.789227e+00,9.986072e-03
5.519607e+00,3.799201e+00,3.789232e+00,9.987239e-03
5.538607e+00,3.799201e+00,3.789227e+00,9.986086e-03
5.557607e+00,3.799201e+00,3.789231e+00,9.987208e-03
5.576607e+00,3.799201e+00,3.789228e+00,9.986127e-03
5.595607e+00,3.799201e+00,3.789231e+00,9.987160e-03
5.614607e+00,3.799201e+00,3.789228e+00,9.986179e-03
5.633607e+00,3.799201e+00,3.789231e+00,9.987106e-03
5.652607e+00,3.799201e+00,3.789228e+00,9.986234e-03
5.671607e+00,3.799201e+00,3.789231e+00,9.987053e-03
5.690607e+00,3.799201e+00,3.789228e+00,9.986285e-03
5.709607e+00,3.799201e+00,3.789230e+00,9.987003e-03
5.728607e+00,3.799201e+00,3.789228e+00,9.986333e-03
5.747607e+00,3.799201e+00,3.789230e+00,9.986958e-03
5.766607e+00,3.799201e+00,3.789229e+00,9.986375e-03
5.785607e+00,3.799201e+00,3.789230e+00,9.986918e-03
5.804607e+00,3.799201e+00,3.789229e+00,9.986412e-03
5.823607e+00,3.799201e+00,3.789230e+00,9.986883e-03
5.842607e+00,3.799201e+00,3.789229e+00,9.986445e-03
5.861607e+00,3.799201e+00,3.789230e+00,9.986853e-03
5.880607e+00,3.799201e+00,3.789229e+00,9.986474e-03
5.899607e+00,3.799201e+00,3.789230e+00,9.986826e-03
5.918607e+00,3.799201e+00,3.789229e+00,9.986499e-03
5.937607e+00,3.799201e+00,3.789230e+00,9.986803e-03
5.956607e+00,3.799201e+00,3.789229e+00,9.986520e-03
5.975607e+00,3.799201e+00,3.789230e+00,9.986783e-03
5.994607e+00,3.799201e+00,3.789229e+00,9.986539e-03
6.000224e+00,3.799999e+00,2.176362e+00,1.791123e-05
6.004995e+00,3.799999e+00,4.686482e-06,1.406999e-05
6.018428e+00,3.799999e+00,1.444000e-09,1.552443e-05
6.037428e+00,3.799999e+00,1.444000e-09,1.460593e-05
6.056428e+00,3.799999e+00,1.444000e-09,1.529613e-05
6.075428e+00,3.799999e+00,1.444000e-09,1.477749e-05
6.094428e+00,3.799999e+00,1.444000e-09,1.516721e-05
6.113428e+00,3.799999e+00,1.444000e-09,1.487436e-05
6.132428e+00,3.799999e+00,1.444000e-09,1.509442e-05
6.151428e+00,3.799999e+00,1.444000e-09,1.492906e-05
6.170428e+00,3.799999e+00,1.444000e-09,1.505332e-05
6.189428e+00,3.799999e+00,1.444000e-09,1.495994e-05
6.208428e+00,3.799999e+00,1.444000e-09,1.503011e-05
6.227428e+00,3.799999e+00,1.444000e-09,1.497738e-05
6.246428e+00,3.799999e+00,1.444000e-09,1.501700e-05
6.265428e+00,3.799999e+00,1.444000e-09,1.498723e-05
6.284428e+00,3.799999e+00,1.444000e-09,1.500960e-05
6.303428e+00,3.799999e+00,1.444000e-09,1.499279e-05
6.322428e+00,3.799999e+00,1.444000e-09,1.500542e-05
6.341428e+00,3.799999e+00,1.444000e-09,1.499593e-05
6.360428e+00,3.799999e+00,1.444000e-09,1.500306e-05
6.379428e+00,3.799999e+00,1.444000e-09,1.499770e-05
6.398428e+00,3.799999e+00,1.444000e-09,1.500173e-05
6.417428e+00,3.799999e+00,1.444000e-09,1.499871e-05
6.436428e+00,3.799999e+00,1.444000e-09,1.500098e-05
6.455428e+00,3.799999e+00,1.444000e-09,1.499927e-05
6.474428e+00,3.799999e+00,1.444000e-09,1.500055e-05
6.493428e+00,3.799999e+00,1.444000e-09,1.499959e-05
6.512428e+00,3.799999e+00,1.444000e-09,1.500031e-05
6.531428e+00,3.799999e+00,1.444000e-09,1.499977e-05
6.550428e+00,3.799999e+00,1.444000e-09,1.500018e-05
6.569428e+00,3.799999e+00,1.444000e-09,1.499987e-05
6.588428e+00,3.799999e+00,1.444000e-09,1.500010e-05
6.607428e+00,3.799999e+00,1.444000e-09,1.499993e-05
6.626428e+00,3.799999e+00,1.444000e-09,1.500006e-05
6.645428e+00,3.799999e+00,1.444000e-09,1.499996e-05
6.664428e+00,3.799999e+00,1.444000e-09,1.500004e-05
6.683428e+00,3.799999e+00,1.444000e-09,1.499998e-05
6.702428e+00,3.799999e+00,1.444000e-09,1.500002e-05
6.721428e+00,3.799999e+00,1.444000e-09,1.499999e-05
6.740428e+00,3.799999e+00,1.444000e-09,1.500001e-05
6.759428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.778428e+00,3.799999e+00,1.444000e-09,1.500001e-05
6.797428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.816428e+00,3.799999e+00,1.444000e-09,1.500001e-05
6.835428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.854428e+00,3.799999e+00,1.444000e-09,1.500001e-05
6.873428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.892428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.911428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.930428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.949428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.968428e+00,3.799999e+00,1.444000e-09,1.500000e-05
6.987428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.006428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.025428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.044428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.063428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.082428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.101428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.120428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.139428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.158428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.177428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.196428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.215428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.234428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.253428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.272428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.291428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.310428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.329428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.348428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.367428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.386428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.405428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.424428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.443428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.462428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.481428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.500428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.519428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.538428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.557428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.576428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.595428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.614428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.633428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.652428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.671428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.690428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.709428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.728428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.747428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.766428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.785428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.804428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.823428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.842428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.861428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.880428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.899428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.918428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.937428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.956428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.975428e+00,3.799999e+00,1.444000e-09,1.500000e-05
7.994428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.013428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.032428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.051428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.070428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.089428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.108428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.127428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.146428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.165428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.184428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.203428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.222428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.241428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.260428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.279428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.298428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.317428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.336428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.355428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.374428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.393428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.412428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.431428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.450428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.469428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.488428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.507428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.526428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.545428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.564428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.583428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.602428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.621428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.640428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.659428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.678428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.697428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.716428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.735428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.754428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.773428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.792428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.811428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.830428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.849428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.868428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.887428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.906428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.925428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.944428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.963428e+00,3.799999e+00,1.444000e-09,1.500000e-05
8.982428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.001428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.020428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.039428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.058428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.077428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.096428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.115428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.134428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.153428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.172428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.191428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.210428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.229428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.248428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.267428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.286428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.305428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.324428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.343428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.362428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.381428e+00,3.799999e+00,1.444000e-09,1.500000e-05
9.400428e+00,3.799999e+00,1.444000e-09,1.500000e-05
